x,y,z,faceIndex,nodeIndex,nodeCount
-0.013336399288351508,-7.347880794884119e-17,-0.6,1552118,654,4
-0.014503187505682469,-0.012524001279209348,-0.5998692769195288,1552118,9239,4
-0.029334643247763914,-0.013514758849042205,-0.599847773433604,1552118,9240,4
-0.0277029720228974,-7.347880794884119e-17,-0.6,1552118,653,4
-0.014340741890309872,-0.03686122981796531,-0.5988666376884816,1552119,9243,4
-0.014596557412621891,-0.024878957403909163,-0.5994839759981032,1552119,9241,4
7.34175929829162e-17,-0.024486320633383046,-0.5995001418697407,1552119,373,4
7.33406243510684e-17,-0.036779783327361,-0.5988716452950434,1552119,372,4
-0.014204118125380027,-0.049063002816150655,-0.5979906535679821,1552120,9245,4
-0.014340741890309872,-0.03686122981796531,-0.5988666376884816,1552120,9243,4
7.33406243510684e-17,-0.036779783327361,-0.5988716452950434,1552120,372,4
7.323298204529312e-17,-0.049038308138645646,-0.5979926791649705,1552120,371,4
7.27315132852423e-17,-0.08535404439002625,-0.5938978759907004,1552121,368,4
7.2505940923872e-17,-0.09731272487792589,-0.5920559378781984,1552121,367,4
-0.013756975246344894,-0.09736312792661422,-0.5920476512244143,1552121,9250,4
-0.013436428706552483,-0.08542753512885828,-0.5938873093793196,1552121,9249,4
-0.013679509569101356,-0.1092395532418431,-0.5899717959424183,1552122,9252,4
-0.013756975246344894,-0.09736312792661422,-0.5920476512244143,1552122,9250,4
7.2505940923872e-17,-0.09731272487792589,-0.5920559378781984,1552122,367,4
7.225125088972351e-17,-0.10921557144034126,-0.5899762359239223,1552122,366,4
-0.013495373893924523,-0.12107858256117782,-0.5876563424697941,1552123,9258,4
-0.013679509569101356,-0.1092395532418431,-0.5899717959424183,1552123,9252,4
7.225125088972351e-17,-0.10921557144034126,-0.5899762359239223,1552123,366,4
7.196744037636991e-17,-0.12106691053143301,-0.5876587472116568,1552123,365,4
-0.013333225534172044,-0.13287374044363467,-0.5851021868874852,1552124,9255,4
-0.013495373893924523,-0.12107858256117782,-0.5876563424697941,1552124,9258,4
7.196744037636991e-17,-0.12106691053143301,-0.5876587472116568,1552124,365,4
7.165455741650193e-17,-0.13286635533993077,-0.5851038639580867,1552124,364,4
-0.013265405757082682,-0.14461699282459833,-0.582310849449304,1552125,9256,4
-0.013333225534172044,-0.13287374044363467,-0.5851021868874852,1552125,9255,4
7.165455741650193e-17,-0.13286635533993077,-0.5851038639580867,1552125,364,4
7.131269584634551e-17,-0.144610940973348,-0.5823123523941449,1552125,363,4
-0.013372796553051458,-0.22491202382455444,-0.5562504665518431,1552126,9264,4
-0.013210403979780239,-0.21367494884753427,-0.5606630148627637,1552126,9263,4
6.866114152341413e-17,-0.2136808436784464,-0.5606607682412488,1552126,357,4
6.812081703177433e-17,-0.22491643251302687,-0.5562486839405671,1552126,356,4
-0.013253587613960782,-0.23606461278653887,-0.551609915238968,1552127,9275,4
-0.013372796553051458,-0.22491202382455444,-0.5562504665518431,1552127,9264,4
6.812081703177433e-17,-0.22491643251302687,-0.5562486839405671,1552127,356,4
6.75529274378073e-17,-0.23606087811519613,-0.5516115134979349,1552127,355,4
-0.013060018171816346,-0.24711985776498552,-0.5467465371616114,1552128,9267,4
-0.013253587613960782,-0.23606461278653887,-0.551609915238968,1552128,9275,4
6.75529274378073e-17,-0.23606087811519613,-0.5516115134979349,1552128,355,4
6.695770461630596e-17,-0.2471096510246544,-0.5467511503147235,1552128,354,4
-0.012948650317586186,-0.25807149117948097,-0.5416632768061714,1552129,9268,4
-0.013060018171816346,-0.24711985776498552,-0.5467465371616114,1552129,9267,4
6.695770461630596e-17,-0.2471096510246544,-0.5467511503147235,1552129,354,4
6.633539185110095e-17,-0.2580582590597255,-0.5416695809541676,1552129,353,4
-0.013043934942818858,-0.26891491802116074,-0.5363625330554628,1552130,9271,4
-0.012948650317586186,-0.25807149117948097,-0.5416632768061714,1552130,9268,4
6.633539185110095e-17,-0.2580582590597255,-0.5416695809541676,1552130,353,4
6.56862438443136e-17,-0.26890224798457485,-0.5363688852169206,1552130,352,4
-0.012976679133329228,-0.27964704857333056,-0.5308460494571146,1552131,9272,4
-0.013043934942818858,-0.26891491802116074,-0.5363625330554628,1552131,9271,4
6.56862438443136e-17,-0.26890224798457485,-0.5363688852169206,1552131,352,4
6.50105267268164e-17,-0.2796372024549429,-0.5308512362264717,1552131,351,4
-0.01284328512223798,-0.2902650007027785,-0.5251154438473657,1552132,9273,4
-0.012976679133329228,-0.27964704857333056,-0.5308460494571146,1552132,9272,4
6.50105267268164e-17,-0.2796372024549429,-0.5308512362264717,1552132,351,4
6.430851800856044e-17,-0.2902587480818965,-0.5251189000235377,1552132,350,4
-0.012771926350166218,-0.30076746922974545,-0.5191713873598333,1552133,9274,4
-0.01284328512223798,-0.2902650007027785,-0.5251154438473657,1552133,9273,4
6.430851800856044e-17,-0.2902587480818965,-0.5251189000235377,1552133,350,4
6.35805064413641e-17,-0.3007625546635997,-0.5191742344456485,1552133,349,4
-0.012737752459480944,-0.3111484683727443,-0.5130171835614236,1552134,9277,4
-0.012771926350166218,-0.30076746922974545,-0.5191713873598333,1552134,9274,4
6.35805064413641e-17,-0.3007625546635997,-0.5191742344456485,1552134,349,4
6.282679176819514e-17,-0.31114434056955353,-0.5130196870798797,1552134,348,4
-0.01263151037176069,-0.4573688089869148,-0.3883474894548579,1552135,9297,4
-0.012563621134859204,-0.4494763744877996,-0.3974556437859492,1552135,9296,4
4.867399692753422e-17,-0.44947840539746725,-0.3974533470501287,1552135,333,4
4.755860238099399e-17,-0.45737053268468525,-0.38834545939373005,1552135,332,4
-0.012551507410903717,-0.4650759370446305,-0.3790835960339868,1552136,9298,4
-0.01263151037176069,-0.4573688089869148,-0.3883474894548579,1552136,9297,4
4.755860238099399e-17,-0.45737053268468525,-0.38834545939373005,1552136,332,4
4.642416139523368e-17,-0.4650772006705722,-0.37908204575846677,1552136,331,4
-0.012462195097037387,-0.4725944430009354,-0.3696680841574446,1552137,9299,4
-0.012551507410903717,-0.4650759370446305,-0.3790835960339868,1552137,9298,4
4.642416139523368e-17,-0.4650772006705722,-0.37908204575846677,1552137,331,4
4.5271132022683556e-17,-0.47259541116398046,-0.3696668464262764,1552137,330,4
-0.012403611443354556,-0.4799213477524662,-0.3601048458039081,1552138,9300,4
-0.012462195097037387,-0.4725944430009354,-0.3696680841574446,1552138,9299,4
4.5271132022683556e-17,-0.47259541116398046,-0.3696668464262764,1552138,330,4
4.409997931080584e-17,-0.4799222384099214,-0.360103658797867,1552138,329,4
-0.012267588950992447,-0.5997889511851802,-0.015912700467914397,1552139,9336,4
-0.012269522001227884,-0.5993894406168924,-0.027061013967862514,1552139,9335,4
3.277108592661432e-18,-0.5994029718049929,-0.026759622406583538,1552139,299,4
1.9261701541044722e-18,-0.5997938131437984,-0.015728372910830672,1552139,298,4
-0.01233887995101135,-0.5966127644806887,0.06366481963149045,1552140,9345,4
-0.012352942197869865,-0.5977536606828954,0.051870619238620685,1552140,9344,4
-6.3310937676394064e-18,-0.5977686749699427,0.051697303843421305,1552140,292,4
-7.78494778925741e-18,-0.596622989875337,0.06356892284924595,1552140,291,4
-0.012330559093809867,-0.5847271200027954,0.13451466512331087,1552141,9351,4
-0.012333714240365445,-0.5873006609558948,0.12279223770568366,1552141,9350,4
-1.503761100038462e-17,-0.587300833535774,0.12279141227376243,1552141,286,4
-1.6473301936377033e-17,-0.5847271077397045,0.13451471843021504,1552141,285,4
-0.012463665619261377,-0.47889907084970734,0.36146324839364646,1552147,9376,4
-0.012495466473636085,-0.486042110373649,0.3517997540413148,1552147,9375,4
-4.308307282217645e-17,-0.48604194163741377,0.35179998716505495,1552147,265,4
-4.426651501114582e-17,-0.47889886132595527,0.36146352598941905,1552147,264,4
-0.012441738104220335,-0.4715638647286895,0.3709818344368659,1552148,9378,4
-0.012463665619261377,-0.47889907084970734,0.36146324839364646,1552148,9376,4
-4.426651501114582e-17,-0.47889886132595527,0.36146352598941905,1552148,264,4
-4.543223973668931e-17,-0.4715634270769104,0.3709823907458134,1552148,263,4
-0.01245830407095827,-0.46403941689820527,0.38035170508987287,1552149,9379,4
-0.012441738104220335,-0.4715638647286895,0.3709818344368659,1552149,9378,4
-4.543223973668931e-17,-0.4715634270769104,0.3709823907458134,1552149,263,4
-4.657978001957617e-17,-0.4640385454651138,0.38035276825944286,1552149,262,4
-0.012514857471928487,-0.456328719601644,0.3895691205251311,1552150,9380,4
-0.01245830407095827,-0.46403941689820527,0.38035170508987287,1552150,9379,4
-4.657978001957617e-17,-0.4640385454651138,0.38035276825944286,1552150,262,4
-4.770867679039794e-17,-0.4563271919635252,0.3895709099441127,1552150,261,4
-0.013073896471319735,-0.3973874865590579,0.4495366342427216,1552152,9388,4
-0.01315230421921676,-0.4063157696891449,0.44148328994642333,1552152,9387,4
-5.406572981851838e-17,-0.40631914092043997,0.4414801872357078,1552152,255,4
-5.505186256870847e-17,-0.3973920815885954,0.44953257222439746,1552152,254,4
-7.166281621866879e-17,-0.13256902762993372,0.5851713021955656,1552153,229,4
-7.19739608775818e-17,-0.12080817631595239,0.5877119911446539,1552153,228,4
-0.01360692390831364,-0.12081517958431275,0.5877105515319682,1552153,9423,4
-0.013169775229820324,-0.13256747895654286,0.5851716530413161,1552153,9422,4
-0.013772509371684727,-0.1089988665451694,0.5900163108693423,1552154,9426,4
-0.01360692390831364,-0.12081517958431275,0.5877105515319682,1552154,9423,4
-7.19739608775818e-17,-0.12080817631595239,0.5877119911446539,1552154,228,4
-7.225622486355862e-17,-0.10899594003002253,0.5900168515025411,1552154,227,4
-0.014364751217744498,-0.04885862048442583,0.5980073872489862,1552156,9417,4
-0.014116273429586101,-0.06108959418103414,0.596881949369217,1552156,9418,4
-7.309617619814569e-17,-0.061151846979971274,0.5968755746476297,1552156,223,4
-7.323346219225491e-17,-0.04899047410415231,0.5979965998624494,1552156,222,4
-0.014527344289307464,-0.01247414477678178,0.5998703157450682,1552157,9412,4
-0.014626155130880392,-0.02476928723884516,0.5994885173292976,1552157,9413,4
-7.341766299129189e-17,-0.02447232059306019,0.5995007135315107,1552157,220,4
-7.346362172215743e-17,-0.012197973785783819,0.5998759950485778,1552157,219,4
-0.013336399288353284,1.4695761589768238e-16,0.6,1552158,655,4
-0.027702972022899175,1.4695761589768238e-16,0.6,1552158,656,4
-0.02941197501715287,-0.013312053973366348,0.5998523061712859,1552158,9414,4
-0.014527344289307464,-0.01247414477678178,0.5998703157450682,1552158,9412,4
-0.014503187505682469,-0.012524001279209348,-0.5998692769195288,1552344,9239,4
-0.014596557412621891,-0.024878957403909163,-0.5994839759981032,1552344,9241,4
-0.029504019889420086,-0.026431297446194848,-0.5994175393791132,1552344,9585,4
-0.029334643247763914,-0.013514758849042205,-0.599847773433604,1552344,9240,4
-0.014596557412621891,-0.024878957403909163,-0.5994839759981032,1552345,9241,4
-0.014340741890309872,-0.03686122981796531,-0.5988666376884816,1552345,9243,4
-0.029130785779739377,-0.036478060140920934,-0.5988900993741301,1552345,9586,4
-0.029504019889420086,-0.026431297446194848,-0.5994175393791132,1552345,9585,4
-0.014204118125380027,-0.049063002816150655,-0.5979906535679821,1552346,9245,4
-0.029137579548650372,-0.04886848102009651,-0.5980065815380199,1552346,9587,4
-0.029130785779739377,-0.036478060140920934,-0.5988900993741301,1552346,9586,4
-0.014340741890309872,-0.03686122981796531,-0.5988666376884816,1552346,9243,4
-0.028830073639396936,-0.06150600453386606,-0.5968391838730764,1552347,9593,4
-0.029137579548650372,-0.04886848102009651,-0.5980065815380199,1552347,9587,4
-0.014204118125380027,-0.049063002816150655,-0.5979906535679821,1552347,9245,4
-0.014135405471314755,-0.06129793284322006,-0.5968605896096241,1552347,9247,4
-0.013602492545602196,-0.07341481369421103,-0.5954916163391759,1552348,9248,4
-0.027780040146216045,-0.07381809727066102,-0.5954417591295887,1552348,9591,4
-0.028830073639396936,-0.06150600453386606,-0.5968391838730764,1552348,9593,4
-0.014135405471314755,-0.06129793284322006,-0.5968605896096241,1552348,9247,4
-0.027452082237969577,-0.08582587226716536,-0.5938298743323547,1552349,9592,4
-0.027780040146216045,-0.07381809727066102,-0.5954417591295887,1552349,9591,4
-0.013602492545602196,-0.07341481369421103,-0.5954916163391759,1552349,9248,4
-0.013436428706552483,-0.08542753512885828,-0.5938873093793196,1552349,9249,4
-0.013436428706552483,-0.08542753512885828,-0.5938873093793196,1552350,9249,4
-0.013756975246344894,-0.09736312792661422,-0.5920476512244143,1552350,9250,4
-0.028567843725117115,-0.09766755331002304,-0.5919975076218089,1552350,9594,4
-0.027452082237969577,-0.08582587226716536,-0.5938298743323547,1552350,9592,4
-0.02829126485989697,-0.1094340204094275,-0.5899357551268011,1552351,9596,4
-0.028567843725117115,-0.09766755331002304,-0.5919975076218089,1552351,9594,4
-0.013756975246344894,-0.09736312792661422,-0.5920476512244143,1552351,9250,4
-0.013679509569101356,-0.1092395532418431,-0.5899717959424183,1552351,9252,4
-0.013495373893924523,-0.12107858256117782,-0.5876563424697941,1552352,9258,4
-0.027788001475975932,-0.12119293507587786,-0.5876327700934437,1552352,9598,4
-0.02829126485989697,-0.1094340204094275,-0.5899357551268011,1552352,9596,4
-0.013679509569101356,-0.1092395532418431,-0.5899717959424183,1552352,9252,4
-0.02736967264719148,-0.1329364162219623,-0.5850879500058612,1552353,9532,4
-0.027788001475975932,-0.12119293507587786,-0.5876327700934437,1552353,9598,4
-0.013495373893924523,-0.12107858256117782,-0.5876563424697941,1552353,9258,4
-0.013333225534172044,-0.13287374044363467,-0.5851021868874852,1552353,9255,4
-0.026821232096440717,-0.21366690960126108,-0.5606660786434707,1552354,9602,4
-0.026746956387657228,-0.20239401046386943,-0.5648333068511019,1552354,9607,4
-0.013131186925192218,-0.20235735112443437,-0.5648464414740544,1552354,9270,4
-0.013210403979780239,-0.21367494884753427,-0.5606630148627637,1552354,9263,4
-0.027123543912537684,-0.22491155589076747,-0.5562506557540352,1552355,9603,4
-0.026821232096440717,-0.21366690960126108,-0.5606660786434707,1552355,9602,4
-0.013210403979780239,-0.21367494884753427,-0.5606630148627637,1552355,9263,4
-0.013372796553051458,-0.22491202382455444,-0.5562504665518431,1552355,9264,4
-0.026908252642768637,-0.23611455101569934,-0.55158854121406,1552356,9610,4
-0.027123543912537684,-0.22491155589076747,-0.5562506557540352,1552356,9603,4
-0.013372796553051458,-0.22491202382455444,-0.5562504665518431,1552356,9264,4
